name,ra,dec,time_x,fluence,redshift
GRB 070429B,328.01587,-38.82833,2007-04-29T03:09:04.446800,6.52E-08,0.904
GRB 070506,347.2183,10.7224,2007-05-06T05:35:58.063600,0.000000206,2.309
GRB 070508,312.80029,-78.38528,2007-05-08T04:18:17.835440,0.0000201,0.82
GRB 070509,237.95925,-78.65183,2007-05-09T02:48:27.305440,0.000000187,
GRB 070517,277.62063,-62.2975,2007-05-17T11:20:58.391320,0.000000219,
GRB 070518,254.1986,55.2951,2007-05-18T14:26:21.204860,0.000000167,0.7
GRB 070520A,193.35933,74.99036,2007-05-20T13:05:10.032620,0.000000498,
GRB 070520B,121.88029,57.60814,2007-05-20T17:44:53.264200,0.00000107,
GRB 070521,242.66092,30.25622,2007-05-21T06:51:10.863020,0.00000811,0.553
GRB 070529,283.7427,20.6594,2007-05-29T12:48:28.349220,0.00000247,2.4996
GRB 070531,6.74242,74.31303,2007-05-31T02:10:17.529860,0.00000109,
GRB 070611,1.99171,-29.75556,2007-06-11T01:57:13.890180,0.000000403,2.0394
GRB 070612A,121.37337,37.27089,2007-06-12T02:38:45.983960,0.0000108,0.617
GRB 070612B,261.72696,-8.75139,2007-06-12T06:21:17.791640,0.00000182,
GRB 070615,44.31383,-4.40717,2007-06-15T02:20:45,,
GRB 070616,32.1505,56.94436,2007-06-16T16:29:33.974040,0.0000197,3
GRB 070621,323.792,-24.81753,2007-06-21T23:17:39.850480,0.0000044,
GRB 070628,115.27537,-20.27928,2007-06-28T14:41:02.843960,0.00000356,
GRB 070704,354.69767,66.25317,2007-07-04T20:05:57.934440,0.00000585,
GRB 070707,267.74396,-68.92422,2007-07-07T16:08:21,,
GRB 070714A,42.93046,30.24306,2007-07-14T03:20:30.618220,0.000000155,
GRB 070714B,57.84262,28.29744,2007-07-14T04:59:29.626060,0.000000725,0.92
GRB 070721A,3.16343,-28.5502,2007-07-21T10:00:56.330340,5.52E-08,
GRB 070721B,33.13737,-2.19456,2007-07-21T10:33:46.314280,0.00000356,3.6298
GRB 070724A,27.80854,-18.59442,2007-07-24T10:53:50.211640,3.09E-08,0.457
GRB 070724B,17.48613,57.67653,2007-07-24T23:25:09,,1.1
