name,ra,dec
3FGL J1650.2-5044,252.5642,-50.7488
3FGL J0816.1-5044,124.0278,-50.7484
3FGL J1033.4-5035,158.3743,-50.5946
3FGL J1711.5-5029,257.89,-50.4835
3FGL J1417.7-5026,214.4296,-50.4396
3FGL J0014.0-5025,3.515,-50.4285
3FGL J2315.7-5018,348.9419,-50.3116
3FGL J0310.4-5015,47.6207,-50.2572
3FGL J1619.0-5014c,244.7731,-50.2437
3FGL J1807.8-5011,271.9544,-50.1839
3FGL J1753.5-5010,268.3859,-50.1701
3FGL J2135.3-5008,323.8279,-50.1441
3FGL J0725.4-5007,111.3708,-50.1197
3FGL J1048.8-5006,162.2058,-50.1061
3FGL J0718.9-5004,109.7381,-50.0794
3FGL J1622.9-5004,245.7263,-50.0753
3FGL J1643.6-5002,250.914,-50.0393
3FGL J1126.8-5001,171.7246,-50.0244
3FGL J1005.0-4959,151.2608,-49.9862
3FGL J0357.1-4957,59.2802,-49.9504
3FGL J1508.7-4956,227.1842,-49.9335
3FGL J1244.3-4955,191.0898,-49.9263
3FGL J2329.3-4955,352.3306,-49.9233
3FGL J1536.3-4949,234.0989,-49.8225
3FGL J1514.2-4947,228.5576,-49.7844
3FGL J1816.9-4944,274.2332,-49.7446
3FGL J1251.0-4943,192.7735,-49.7314
3FGL J2138.2-4939,324.5544,-49.6557
3FGL J1701.1-4930,255.2861,-49.5145
3FGL J1620.8-4928,245.2045,-49.4705
3FGL J2251.5-4928,342.8959,-49.4684
3FGL J0747.5-4927,116.8897,-49.4584
3FGL J1305.4-4926,196.3698,-49.4342
3FGL J1939.6-4925,294.9205,-49.4297
3FGL J0905.6-4917,136.4197,-49.2959
3FGL J2322.9-4917,350.7342,-49.2893
3FGL J1640.6-4917,250.1556,-49.289
3FGL J0908.4-4916,137.1098,-49.2705
3FGL J1626.2-4911,246.5692,-49.1973
3FGL J2054.8-4908,313.7249,-49.1358
3FGL J1654.3-4907,253.5985,-49.1218
3FGL J1603.9-4903,240.9786,-49.0643
3FGL J0918.2-4859,139.5731,-48.9891
3FGL J1227.9-4854,186.9762,-48.9012
3FGL J1116.7-4854,169.1825,-48.9007
3FGL J1628.9-4852,247.2378,-48.8741
3FGL J2009.3-4849,302.3495,-48.8277
3FGL J0706.1-4849,106.5373,-48.8263
3FGL J0604.7-4849,91.1838,-48.8244
3FGL J1703.9-4843,255.9901,-48.7237
3FGL J0823.6-4838,125.9135,-48.6366
3FGL J2235.3-4835,338.8365,-48.5901
3FGL J0858.0-4834,134.519,-48.5691
3FGL J1549.4-4832,237.3748,-48.5384
3FGL J0526.2-4829,81.5706,-48.4986
3FGL J1648.5-4829,252.15,-48.494
3FGL J0704.3-4828,106.075,-48.4751
3FGL J0532.0-4827,83.0004,-48.4585
3FGL J1218.8-4827,184.7132,-48.458
3FGL J0903.0-4826,135.7632,-48.4496
3FGL J0834.5-4825,128.6336,-48.4224
3FGL J1759.1-4822,269.7948,-48.372
3FGL J2107.7-4822,316.9311,-48.3696
3FGL J1632.4-4820,248.1107,-48.337
3FGL J0855.4-4818,133.855,-48.3163
3FGL J0604.1-4817,91.0311,-48.2921
3FGL J1150.7-4816,177.692,-48.283
3FGL J1109.4-4815,167.3679,-48.2563
3FGL J0026.2-4812,6.5572,-48.2101
3FGL J0652.0-4808,103.0146,-48.1344
3FGL J0800.6-4806,120.1743,-48.1147
3FGL J2353.3-4805,358.3315,-48.0843
3FGL J0907.0-4802,136.7539,-48.043
3FGL J2043.8-4801,310.9504,-48.0206
3FGL J2325.4-4758,351.3575,-47.975
3FGL J0746.6-4756,116.6633,-47.9368
3FGL J2213.6-4755,333.4054,-47.9206
3FGL J1514.5-4750,228.6409,-47.8355
3FGL J1655.5-4748,253.8965,-47.8087
3FGL J2343.0-4748,355.7634,-47.802
3FGL J0226.7-4747,36.6951,-47.7837
3FGL J1633.0-4746e,248.25,-47.77
3FGL J0903.2-4744,135.8141,-47.7429
3FGL J0156.9-4742,29.2403,-47.7111
3FGL J0844.3-4741,131.0823,-47.684
3FGL J0004.7-4740,1.1807,-47.6711
3FGL J0839.1-4739,129.7766,-47.6626
3FGL J0133.2-4737,23.307,-47.6199
3FGL J0914.5-4736,138.6411,-47.6152
3FGL J1132.0-4736,173.0119,-47.602
3FGL J1636.2-4734,249.0687,-47.5803
3FGL J2329.9-4734,352.479,-47.5709
3FGL J0859.3-4732,134.8466,-47.5492
3FGL J0606.4-4729,91.6053,-47.492
3FGL J1328.5-4728,202.147,-47.4814
3FGL J0726.6-4727,111.6639,-47.4653
3FGL J1326.7-4727,201.6951,-47.4646
3FGL J1959.8-4725,299.9637,-47.4277
3FGL J1823.2-4722,275.805,-47.3805
3FGL J1936.9-4719,294.2451,-47.3286
3FGL J2056.2-4714,314.0671,-47.2482
3FGL J0437.2-4713,69.3054,-47.2279
3FGL J1655.7-4712,253.947,-47.2105
3FGL J1636.2-4709c,249.058,-47.1595
3FGL J0906.0-4705,136.5063,-47.0977
3FGL J2205.9-4704,331.4761,-47.0813
3FGL J1446.6-4701,221.6622,-47.0325
3FGL J0657.6-4701,104.424,-47.0263
3FGL J1624.1-4700,246.0421,-47.0058
3FGL J0901.6-4700,135.4049,-47.0013
3FGL J1538.4-4656,234.6032,-46.9354
3FGL J1701.4-4654,255.3637,-46.9065
3FGL J1638.6-4654,249.6502,-46.9017
3FGL J1657.6-4653,254.4185,-46.8965
3FGL J0245.9-4651,41.4838,-46.8527
3FGL J1326.2-4651,201.5592,-46.8521
3FGL J1652.2-4649,253.0633,-46.83
3FGL J1655.1-4644,253.7796,-46.7347
3FGL J0732.2-4638,113.0672,-46.6398
3FGL J1640.4-4634c,250.1177,-46.5803
3FGL J0701.4-4634,105.3503,-46.5735
3FGL J1117.7-4632,169.4491,-46.5419
3FGL J0852.7-4631e,133.2,-46.52
3FGL J1651.5-4626,252.8978,-46.434
3FGL J1702.1-4623,255.537,-46.3866
3FGL J1641.1-4619c,250.2831,-46.33
3FGL J1303.7-4619,195.9468,-46.3186
3FGL J1654.0-4617,253.5005,-46.2965
3FGL J0455.7-4617,73.9447,-46.2845
3FGL J0838.1-4615,129.5456,-46.2628
3FGL J0157.9-4615,29.4811,-46.2599
3FGL J1420.9-4615,215.2426,-46.2549
3FGL J0138.5-4612,24.6493,-46.2039
3FGL J1648.3-4611,252.0964,-46.1964
3FGL J1728.0-4606,262.0013,-46.1089
3FGL J2126.5-4605,321.628,-46.087
3FGL J0026.7-4603,6.6849,-46.0597
3FGL J1650.3-4600,252.599,-46.0141
3FGL J0525.3-4558,81.3315,-45.9696
3FGL J1123.6-4558,170.9147,-45.9683
3FGL J0515.3-4557,78.8313,-45.9544
3FGL J2358.0-4552,359.5056,-45.8732
3FGL J1628.4-4546,247.1163,-45.7778
3FGL J0843.1-4546,130.7946,-45.7743
3FGL J1024.4-4545,156.1036,-45.7517
3FGL J0937.1-4544c,144.2919,-45.7438
3FGL J1238.3-4543,189.5948,-45.7238
3FGL J0519.2-4542,79.8087,-45.7073
3FGL J1932.6-4537,293.1696,-45.6281
3FGL J1207.6-4537,181.9127,-45.6278
3FGL J2317.3-4534,349.3451,-45.5698
3FGL J1722.9-4529,260.7281,-45.4835
3FGL J0716.0-4525,109.0108,-45.4221
3FGL J0848.2-4524,132.0712,-45.4129
3FGL J1944.1-4523,296.0453,-45.3984
3FGL J0550.3-4521,87.5872,-45.3506
3FGL J0438.8-4519,69.7025,-45.3222
